MOVIE_MovieID,Country
54441,Italy
56292,"United Arab Emirates"
56292,"United States of America"
57158,"New Zealand"
57158,"United States of America"
57165,"United States of America"
57201,"United States of America"
57800,"United States of America"
58244,Canada
58244,France
58244,"United States of America"
58574,"United States of America"
59951,"United Kingdom"
59962,"United States of America"
59967,China
59967,"United States of America"
62177,"United States of America"
62211,"United States of America"
64635,Canada
64635,"United States of America"
64682,Australia
64682,"United States of America"
64686,Hungary
64686,"United Kingdom"
64686,"United States of America"
64807,"United States of America"
65291,"United States of America"
68718,"United States of America"
68721,China
68721,"United States of America"
68724,"United States of America"
68726,Canada
68726,"United States of America"
68728,"United States of America"
68734,"United States of America"
70160,"United States of America"
70981,"United Kingdom"
70981,"United States of America"
71552,"United States of America"
71676,"United Arab Emirates"
71676,"United States of America"
71679,Canada
71679,Germany
72190,"United Kingdom"
72190,"United States of America"
72331,"United States of America"
72559,"United States of America"
72710,"United States of America"
74461,"United States of America"
74510,"United States of America"
75258,"United States of America"
75612,"United States of America"
75656,France
75656,"United States of America"
75780,"United States of America"
76101,"United States of America"
76163,"United States of America"
76170,"United States of America"
76203,"United States of America"
76285,"United States of America"
76338,"United States of America"
76492,"United States of America"
76589,"United States of America"
76640,"United States of America"
77338,France
77663,Belgium
77663,"United States of America"
77931,"United States of America"
77950,"United States of America"
77951,Australia
77951,"United Kingdom"
77951,"United States of America"
78383,"United States of America"
79067,Germany
80274,"United States of America"
80321,"United States of America"
81005,"United States of America"
81452,Japan
82675,France
82684,"United States of America"
82690,"United States of America"
82693,"United States of America"
82700,"United States of America"
82992,"United States of America"
83542,Germany
83542,"Hong Kong"
83542,Singapore
83542,"United States of America"
85446,"United States of America"
85889,"United Kingdom"
86130,"United States of America"
86331,France
86829,France
86829,"United Kingdom"
86829,"United States of America"
86834,"United States of America"
87101,"United States of America"
87421,"United States of America"
87502,"United States of America"
87516,"United States of America"
87827,Taiwan
87827,"United Kingdom"
87827,"United States of America"
91314,"United States of America"
91586,"United States of America"
93456,"United States of America"
96721,Germany
96721,"United Kingdom"
96721,"United States of America"
97020,"United States of America"
97630,"United States of America"
100241,Australia
100241,"United States of America"
100402,"United States of America"
100542,Malaysia
101286,"United States of America"
101299,"United States of America"
106646,"United States of America"
107846,"United States of America"
107985,"United Kingdom"
109091,"United States of America"
109417,"United States of America"
109424,"United States of America"
109439,"United States of America"
109443,"United States of America"
109445,"United States of America"
109451,"United States of America"
110414,Belgium
110414,Denmark
110414,France
110414,Germany
110415,"Czech Republic"
110415,France
110415,"Korea, Republic of"
110415,"United States of America"
111473,"United Kingdom"
112205,France
112205,"United States of America"
115283,"United States of America"
115782,"United States of America"
116711,"United States of America"
116741,"United States of America"
116745,"United States of America"
117251,"United States of America"
117263,"United States of America"
119283,"United States of America"
119892,China
121640,Israel
121640,"United Kingdom"
121734,Spain
122906,"United Kingdom"
123553,"United States of America"
124905,"United States of America"
125509,"United States of America"
126250,Denmark
126250,France
126250,Germany
126250,Italy
126250,Sweden
127585,Canada
129670,"United States of America"
132344,Greece
132344,"United States of America"
132363,"United States of America"
133805,"United States of America"
134374,"United States of America"
135397,"United States of America"
136400,"United States of America"
136418,"United Kingdom"
136418,"United States of America"
136795,"United States of America"
137093,"United States of America"
137106,"United States of America"
137321,"United States of America"
138697,"United States of America"
138832,"United States of America"
138843,"United States of America"
140823,Australia
140823,"United Kingdom"
140823,"United States of America"
146216,"United States of America"
146223,"United Kingdom"
146223,"United States of America"
146233,"United States of America"
146238,"United States of America"
146239,"United States of America"
146243,"United States of America"
146381,Spain
151960,"United States of America"
152532,"United States of America"
152601,"United States of America"
152737,"United States of America"
152742,Italy
155084,"United States of America"
156717,"United States of America"
157099,"United States of America"
157350,"United States of America"
160139,Germany
160139,Portugal
160139,Switzerland
160588,"United States of America"
162903,"United States of America"
164457,"United States of America"
168672,"United States of America"
169298,"United States of America"
169881,Germany
171759,"United States of America"
171776,"United States of America"
172385,"United States of America"
172391,"South Africa"
172631,"United States of America"
173897,Australia
173897,Canada
173897,Germany
174378,Germany
174378,Ireland
175112,"United States of America"
175291,"United States of America"
175555,"United States of America"
175574,"United States of America"
177494,"United States of America"
181009,China
181009,"Hong Kong"
187010,"United States of America"
188207,"United States of America"
190955,France
190955,"United States of America"
192136,"South Africa"
192136,"United Kingdom"
193756,"United States of America"
199373,"United States of America"
201066,"United States of America"
202214,Portugal
203833,"United States of America"
204082,"United States of America"
205220,"United Kingdom"
205724,"Puerto Rico"
205724,"United Kingdom"
205724,"United States of America"
207323,Denmark
208134,"United States of America"
209247,Canada
209263,"United States of America"
209406,Canada
210047,"United States of America"
211449,"United States of America"
214140,"United States of America"
217316,"United States of America"
217993,"United States of America"
225747,"United Kingdom"
227348,"United States of America"
227783,Canada
227783,"Korea, Republic of"
230222,Germany
230896,"United States of America"
240916,Italy
240916,Kuwait
240916,Netherlands
240916,"United States of America"
242042,"United States of America"
242076,Bahamas
242076,"United States of America"
244688,"United States of America"
248268,"United States of America"
249397,Belgium
249397,Denmark
249397,France
249397,Germany
249397,"United Kingdom"
253046,"United States of America"
254263,"United States of America"
255491,"United States of America"
255718,"United States of America"
256731,"United States of America"
258216,Belgium
258216,Denmark
258216,France
258216,Germany
258216,"United Kingdom"
260203,"New Zealand"
